mean,median,min,max,01,05,10,99,95,90
3950.4248773010086,3960.3897885288657,1820.7251072606018,5858.357523345347,2521.756591469953,2871.4114968346544,3083.149554906604,5309.771317945807,5042.649336358266,4787.269074973382
3921.271217889432,3899.945990127154,1520.5132663197364,6539.694371332729,2365.7719520318265,2847.195908596237,3058.6251273192697,5436.701593705356,5018.710884147254,4767.624867590351
3929.2215201272857,3912.7955508086925,2034.674256504351,6003.802605533773,2391.6038448239856,2914.084022896805,3085.0197984962447,5395.597172329917,4990.664986257741,4762.815703624342
3882.464900712152,3890.7379582719727,1641.8837301640046,5923.012502581465,2343.6792555763727,2814.1583714194726,3002.389306050414,5316.591453988847,4921.585718533775,4740.686053934853
3837.681450388489,3853.4990706264844,2009.1338656284765,5795.636044914845,2396.419205932989,2774.705679640891,2981.363837619935,5400.236874567546,4956.498453839949,4698.518489559409
3825.4006495972226,3815.4225742632743,1772.5962328109163,6004.155903862682,2339.140491010464,2795.0190444048526,3040.5023028222595,5410.754482752548,4926.640683484391,4646.777799282092
3784.790759806252,3788.0305759344083,1617.2697668794904,5661.3533341028215,2353.869691414828,2717.7450913017087,2945.091056432684,5250.369824280711,4790.566120431021,4569.1028546618345
3761.7442458872424,3771.1966186757954,1920.629660010792,5882.295827975875,2275.3873807377317,2684.640976526498,2909.4574900280877,5201.943577147026,4808.677514246845,4568.760388663211
3715.75090790084,3719.432493834625,1571.7318948814186,5707.044004794185,2199.8188834274806,2639.7353665424657,2857.7153368541444,5338.538150942144,4769.949729056997,4519.39373980843
3688.3753134257922,3687.6550496135264,1354.5690974904464,5739.734678276996,2194.277190710982,2669.536129221404,2864.663587518637,5164.113344841367,4718.889750163971,4530.930812314637
3695.7056455405464,3696.9539982867764,1553.9381480644997,6232.741677667694,2109.573005640623,2598.6103253460997,2826.482988195704,5427.995413442143,4761.56530059836,4534.137730594986
3636.4422219530984,3665.0605943982473,1870.9346745307218,5329.592615982356,2278.1361236238986,2580.247462934085,2781.5263491881096,5054.602796649316,4718.783739525916,4431.091015111281
3610.0020079912024,3615.842536846507,1624.9083118300452,5560.4562617318925,2045.5024784145564,2506.4514274397025,2745.2338328822443,5043.6182725293775,4648.067800839844,4454.474152153115
3598.3785537132226,3601.7920847483865,1056.9318780608437,5839.939643815314,2062.9856937833138,2519.128624728783,2780.689292346484,5090.533581792831,4659.664457451692,4446.560075272926
